name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Jax, Griffin",643377,2023,274,183,0.232,0.213,0.019,0.344,0.31,0.034,0.283,0.263,0.02,3.86,2.86,0.997
"Neris, Héctor",593576,2023,273,161,0.174,0.196,-0.022,0.292,0.33,-0.038,0.259,0.283,-0.024,1.71,3.33,-1.618
"Pagán, Emilio",641941,2023,273,186,0.181,0.221,-0.04,0.306,0.402,-0.096,0.241,0.296,-0.055,2.99,3.66,-0.674
"Baumann, Mike",657508,2023,273,177,0.221,0.259,-0.038,0.37,0.458,-0.088,0.303,0.352,-0.049,3.76,5.37,-1.612
"Ferguson, Caleb",657571,2023,270,169,0.269,0.249,0.02,0.366,0.335,0.031,0.321,0.303,0.018,3.43,3.85,-0.419
"Robertson, David",502085,2023,269,163,0.221,0.206,0.015,0.354,0.349,0.005,0.289,0.28,0.009,3.03,3.25,-0.219
"Leiter Jr., Mark",643410,2023,269,160,0.206,0.227,-0.021,0.365,0.38,-0.015,0.293,0.31,-0.017,3.5,4.04,-0.543
"Castro, Miguel",612434,2023,268,180,0.213,0.233,-0.02,0.36,0.38,-0.02,0.286,0.302,-0.016,4.31,3.82,0.494
"Moll, Sam",594580,2023,268,163,0.206,0.201,0.005,0.289,0.281,0.008,0.265,0.262,0.003,3.03,2.84,0.192
"Abreu, Albert",656061,2023,268,165,0.231,0.225,0.006,0.404,0.395,0.009,0.332,0.329,0.003,4.73,4.61,0.119
"McHugh, Collin",543521,2023,268,194,0.293,0.29,0.003,0.397,0.435,-0.038,0.335,0.348,-0.013,4.29,5.23,-0.935
"Pressly, Ryan",519151,2023,268,177,0.22,0.239,-0.019,0.358,0.403,-0.045,0.269,0.294,-0.025,3.58,3.61,-0.028
"VerHagen, Drew",572403,2023,268,173,0.226,0.223,0.003,0.396,0.381,0.015,0.314,0.309,0.005,3.98,4.01,-0.026
"García, Luis",472610,2023,267,184,0.252,0.255,-0.003,0.372,0.357,0.015,0.313,0.311,0.002,4.07,4.07,0.003
"Bummer, Aaron",607481,2023,267,148,0.236,0.219,0.017,0.347,0.303,0.044,0.313,0.293,0.02,6.79,3.58,3.209
"Cisnero, José",542585,2023,267,166,0.27,0.25,0.02,0.446,0.425,0.021,0.344,0.33,0.014,5.31,4.64,0.669
"Cortes, Nestor",641482,2023,266,176,0.244,0.216,0.028,0.442,0.39,0.052,0.323,0.296,0.027,4.97,3.66,1.314
"Clarke, Taylor",664199,2023,266,173,0.303,0.251,0.052,0.513,0.468,0.045,0.376,0.344,0.032,5.95,5.1,0.849
"López, Jorge",605347,2023,266,187,0.29,0.284,0.006,0.511,0.455,0.056,0.37,0.353,0.017,5.95,5.41,0.539
"Walker, Ryan",676254,2023,263,159,0.262,0.21,0.052,0.421,0.314,0.107,0.328,0.272,0.056,3.23,3.06,0.168
"Faedo, Alex",656412,2023,262,183,0.2,0.226,-0.026,0.404,0.414,-0.01,0.287,0.302,-0.015,4.45,3.82,0.634
"Swanson, Erik",657024,2023,262,166,0.217,0.199,0.018,0.358,0.356,0.002,0.28,0.271,0.009,2.97,3.04,-0.07
"Holmes, Clay",605280,2023,262,165,0.218,0.209,0.009,0.291,0.285,0.006,0.265,0.261,0.004,2.86,2.82,0.037
"De Los Santos, Enyel",660853,2023,262,171,0.216,0.241,-0.025,0.332,0.39,-0.058,0.282,0.315,-0.033,3.29,4.18,-0.891
"Gott, Trevor",641627,2023,261,176,0.267,0.241,0.026,0.381,0.352,0.029,0.309,0.289,0.02,4.19,3.48,0.71
"Ottavino, Adam",493603,2023,261,162,0.208,0.211,-0.003,0.339,0.326,0.013,0.294,0.291,0.003,3.21,3.53,-0.319
"Minter, A.J.",621345,2023,260,157,0.236,0.218,0.018,0.354,0.359,-0.005,0.283,0.282,0.001,3.76,3.3,0.458
"Sims, Lucas",608371,2023,258,137,0.163,0.177,-0.014,0.302,0.33,-0.028,0.287,0.302,-0.015,3.1,3.82,-0.722
"Kluber, Corey",446372,2023,257,190,0.297,0.273,0.024,0.603,0.544,0.059,0.407,0.377,0.03,7.04,6.32,0.716
"Jackson, Andre",656578,2023,257,176,0.225,0.27,-0.045,0.424,0.477,-0.053,0.31,0.352,-0.042,4.99,5.37,-0.381
"Brazoban, Huascar",623211,2023,257,157,0.243,0.213,0.03,0.349,0.33,0.019,0.308,0.293,0.015,4.14,3.58,0.562
"Graterol, Brusdar",660813,2023,257,194,0.221,0.245,-0.024,0.296,0.331,-0.035,0.245,0.272,-0.027,1.2,3.06,-1.857
"Weathers, Ryan",677960,2023,257,184,0.305,0.249,0.056,0.543,0.423,0.12,0.393,0.331,0.062,6.55,4.67,1.885
"Duran, Jhoan",661395,2023,255,142,0.207,0.185,0.022,0.324,0.289,0.035,0.271,0.251,0.02,2.46,2.6,-0.145
"Ginkel, Kevin",656464,2023,255,159,0.181,0.201,-0.02,0.288,0.337,-0.049,0.246,0.274,-0.028,2.48,3.11,-0.63
"Banks, Tanner",621383,2023,255,184,0.254,0.252,0.002,0.474,0.446,0.028,0.331,0.322,0.009,4.43,4.39,0.036
"Yates, Kirby",489446,2023,254,132,0.167,0.205,-0.038,0.314,0.388,-0.074,0.282,0.326,-0.044,3.28,4.51,-1.228
"Woodruff, Brandon",605540,2023,253,161,0.172,0.207,-0.035,0.322,0.326,-0.004,0.241,0.261,-0.02,2.28,2.82,-0.536
"Alzolay, Adbert",640470,2023,253,168,0.225,0.244,-0.019,0.333,0.372,-0.039,0.269,0.294,-0.025,2.67,3.61,-0.938
"Englert, Mason",669438,2023,253,193,0.291,0.31,-0.019,0.526,0.532,-0.006,0.368,0.383,-0.015,5.46,6.56,-1.096
"Milner, Hoby",571948,2023,252,178,0.209,0.217,-0.008,0.319,0.345,-0.026,0.251,0.267,-0.016,1.82,2.95,-1.131
"Peguero, Elvis",665625,2023,252,168,0.222,0.238,-0.016,0.303,0.343,-0.04,0.28,0.301,-0.021,3.38,3.79,-0.415
"Erceg, Lucas",668674,2023,251,141,0.245,0.208,0.037,0.356,0.301,0.055,0.328,0.297,0.031,4.75,3.69,1.055
"Burke, Brock",656271,2023,250,187,0.271,0.271,0,0.47,0.454,0.016,0.322,0.317,0.005,4.37,4.24,0.134
"Soto, Gregory",642397,2023,250,161,0.21,0.199,0.011,0.335,0.306,0.029,0.274,0.26,0.014,4.62,2.79,1.834
"Sewald, Paul",623149,2023,249,144,0.208,0.188,0.02,0.353,0.31,0.043,0.281,0.258,0.023,3.12,2.75,0.365
"Chapman, Aroldis",547973,2023,249,109,0.175,0.171,0.004,0.261,0.277,-0.016,0.258,0.261,-0.003,3.09,2.82,0.266
"Floro, Dylan",571670,2023,248,170,0.308,0.254,0.054,0.41,0.335,0.075,0.335,0.284,0.051,4.76,3.35,1.415
"Sheehan, Emmet",686218,2023,248,157,0.21,0.186,0.024,0.416,0.38,0.036,0.307,0.29,0.017,4.92,3.5,1.423
"Romano, Jordan",605447,2023,248,150,0.218,0.214,0.004,0.35,0.352,-0.002,0.281,0.28,0.001,2.9,3.25,-0.352
"Pérez, Cionel",672335,2023,247,172,0.264,0.243,0.021,0.34,0.334,0.006,0.311,0.301,0.01,3.54,3.79,-0.246
"Okert, Steven",595345,2023,247,148,0.229,0.218,0.011,0.427,0.393,0.034,0.319,0.304,0.015,4.45,3.87,0.579
"Poche, Colin",621363,2023,246,160,0.194,0.19,0.004,0.306,0.289,0.017,0.258,0.253,0.005,2.23,2.65,-0.425
"Smith, Drew",622098,2023,244,150,0.24,0.224,0.016,0.442,0.395,0.047,0.341,0.322,0.019,4.15,4.39,-0.236
"Diekman, Jake",518617,2023,243,140,0.183,0.199,-0.016,0.267,0.283,-0.016,0.271,0.284,-0.013,3.33,3.35,-0.015
"Puk, A.J.",640462,2023,242,149,0.241,0.209,0.032,0.42,0.37,0.05,0.3,0.271,0.029,3.97,3.04,0.931
"Martínez, Adrián",661309,2023,241,170,0.278,0.28,-0.002,0.448,0.453,-0.005,0.341,0.352,-0.011,4.75,5.37,-0.625
"Thompson, Mason",666168,2023,240,170,0.294,0.258,0.036,0.417,0.399,0.018,0.345,0.33,0.015,5.5,4.64,0.86
"Holderman, Colin",670059,2023,240,160,0.256,0.234,0.022,0.363,0.364,-0.001,0.299,0.294,0.005,3.86,3.61,0.247
"Adon, Joan",672851,2023,240,165,0.284,0.278,0.006,0.483,0.48,0.003,0.361,0.358,0.003,6.45,5.59,0.855
"Law, Derek",571882,2023,240,166,0.239,0.266,-0.027,0.364,0.394,-0.03,0.311,0.334,-0.023,3.6,4.77,-1.17
"Hamilton, Ian",641656,2023,239,141,0.215,0.22,-0.005,0.297,0.321,-0.024,0.275,0.29,-0.015,2.64,3.5,-0.862
"Brasier, Ryan",518489,2023,239,160,0.197,0.231,-0.034,0.282,0.347,-0.065,0.248,0.292,-0.044,3.02,3.55,-0.533
"Cabrera, Génesis",650893,2023,239,155,0.232,0.233,-0.001,0.408,0.42,-0.012,0.311,0.315,-0.004,4.04,4.18,-0.138
"Sandlin, Nick",680704,2023,239,147,0.182,0.215,-0.033,0.388,0.406,-0.018,0.284,0.306,-0.022,3.75,3.93,-0.18
"Moreta, Dauri",664294,2023,239,136,0.187,0.188,-0.001,0.33,0.334,-0.004,0.267,0.27,-0.003,3.72,3.02,0.704
"Nelson, Kyle",669459,2023,239,157,0.267,0.234,0.033,0.484,0.414,0.07,0.339,0.299,0.04,4.18,3.74,0.439
"Jiménez, Joe",641729,2023,238,149,0.233,0.227,0.006,0.42,0.415,0.005,0.302,0.301,0.001,3.04,3.79,-0.754
"Nardi, Andrew",677053,2023,237,139,0.213,0.19,0.023,0.365,0.304,0.061,0.289,0.259,0.03,2.67,2.77,-0.101
"Fulmer, Michael",605242,2023,237,142,0.235,0.239,-0.004,0.402,0.373,0.029,0.32,0.319,0.001,4.42,4.3,0.121
"Bautista, Félix",642585,2023,237,99,0.144,0.142,0.002,0.215,0.237,-0.022,0.218,0.224,-0.006,1.48,2.08,-0.605
"Raley, Brooks",548384,2023,236,144,0.217,0.212,0.005,0.33,0.321,0.009,0.289,0.284,0.005,2.8,3.35,-0.551
"Hand, Brad",543272,2023,236,150,0.27,0.257,0.013,0.46,0.401,0.059,0.344,0.329,0.015,5.53,4.61,0.924
"Young, Alex",622065,2023,236,165,0.248,0.248,0,0.435,0.393,0.042,0.324,0.311,0.013,3.86,4.07,-0.213
"Bido, Osvaldo",674370,2023,236,159,0.27,0.275,-0.005,0.377,0.38,-0.003,0.326,0.332,-0.006,5.86,4.7,1.162
"Davidson, Tucker",656353,2023,236,166,0.306,0.29,0.016,0.478,0.444,0.034,0.364,0.346,0.018,5.96,5.16,0.801
"Leone, Dominic",608678,2023,235,151,0.244,0.249,-0.005,0.507,0.468,0.039,0.352,0.35,0.002,4.67,5.3,-0.633
"Harvey, Hunter",640451,2023,235,153,0.203,0.224,-0.021,0.332,0.381,-0.049,0.252,0.283,-0.031,2.82,3.33,-0.511
"Honeywell, Brent",641703,2023,235,161,0.26,0.278,-0.018,0.446,0.458,-0.012,0.347,0.362,-0.015,4.82,5.74,-0.925
"Phillips, Evan",623465,2023,234,152,0.177,0.226,-0.049,0.302,0.353,-0.051,0.232,0.274,-0.042,2.05,3.11,-1.056
"Priester, Quinn",682990,2023,234,168,0.29,0.297,-0.007,0.555,0.48,0.075,0.394,0.376,0.018,7.74,6.28,1.46
"Bradford, Cody",674003,2023,234,170,0.259,0.244,0.015,0.5,0.467,0.033,0.333,0.323,0.01,5.3,4.42,0.884
"Leclerc, José",600917,2023,233,136,0.183,0.186,-0.003,0.292,0.333,-0.041,0.261,0.276,-0.015,2.68,3.16,-0.476
"Weems, Jordan",607179,2023,232,141,0.194,0.226,-0.032,0.393,0.421,-0.028,0.294,0.319,-0.025,3.62,4.3,-0.678
"Webb, Jacob",657097,2023,232,141,0.199,0.214,-0.015,0.352,0.348,0.004,0.294,0.302,-0.008,3.69,3.82,-0.131
"Bard, Daniel",453268,2023,232,128,0.206,0.226,-0.02,0.371,0.416,-0.045,0.345,0.371,-0.026,4.56,6.08,-1.519
"Williams, Devin",642207,2023,231,115,0.129,0.171,-0.042,0.218,0.284,-0.066,0.214,0.254,-0.04,1.53,2.67,-1.136
"Hader, Josh",623352,2023,231,113,0.163,0.157,0.006,0.224,0.229,-0.005,0.239,0.238,0.001,1.28,2.34,-1.062
"Loup, Aaron",571901,2023,231,164,0.313,0.263,0.05,0.462,0.42,0.042,0.358,0.322,0.036,6.1,4.39,1.713
"Iglesias, Raisel",628452,2023,231,148,0.238,0.225,0.013,0.379,0.372,0.007,0.285,0.276,0.009,2.75,3.16,-0.411
"Shuster, Jared",694363,2023,230,173,0.264,0.27,-0.006,0.438,0.446,-0.008,0.341,0.354,-0.013,5.81,5.44,0.37
"Gallegos, Giovanny",606149,2023,229,158,0.252,0.251,0.001,0.467,0.447,0.02,0.322,0.314,0.008,4.42,4.16,0.258
"Soriano, George",666277,2023,228,148,0.234,0.25,-0.016,0.371,0.401,-0.03,0.308,0.326,-0.018,3.81,4.51,-0.702
"Peralta, Wandy",593974,2023,227,140,0.19,0.24,-0.05,0.323,0.375,-0.052,0.293,0.332,-0.039,2.83,4.7,-1.867
"Smith, Will",519293,2023,226,154,0.211,0.23,-0.019,0.344,0.379,-0.035,0.262,0.284,-0.022,4.39,3.35,1.045
"Blanco, Ronel",669854,2023,226,144,0.251,0.245,0.006,0.462,0.445,0.017,0.352,0.345,0.007,4.5,5.13,-0.63
"Domínguez, Seranthony",622554,2023,224,148,0.246,0.246,0,0.374,0.403,-0.029,0.318,0.331,-0.013,3.78,4.67,-0.89
"Chafin, Andrew",605177,2023,224,132,0.231,0.231,0,0.41,0.396,0.014,0.324,0.321,0.003,4.73,4.36,0.374
"Ryu, Hyun Jin",547943,2023,224,171,0.257,0.25,0.007,0.447,0.389,0.058,0.323,0.303,0.02,3.46,3.85,-0.388
"Hentges, Sam",656529,2023,223,149,0.26,0.266,-0.006,0.338,0.384,-0.046,0.292,0.313,-0.021,3.61,4.13,-0.519
"Lynch IV, Daniel",663738,2023,223,172,0.245,0.269,-0.024,0.426,0.466,-0.04,0.312,0.34,-0.028,4.64,4.96,-0.317
"Hernandez, Jose",669796,2023,223,138,0.239,0.236,0.003,0.462,0.418,0.044,0.329,0.313,0.016,4.97,4.13,0.844
"Adam, Jason",592094,2023,222,124,0.181,0.217,-0.036,0.342,0.403,-0.061,0.283,0.32,-0.037,2.98,4.33,-1.348
"Woodford, Jake",663765,2023,222,168,0.314,0.306,0.008,0.572,0.53,0.042,0.404,0.394,0.01,6.23,7.04,-0.809
"Silseth, Chase",681217,2023,221,137,0.212,0.233,-0.021,0.399,0.389,0.01,0.313,0.318,-0.005,3.96,4.27,-0.315
"Fleming, Josh",676596,2023,221,177,0.281,0.295,-0.014,0.467,0.463,0.004,0.342,0.352,-0.01,4.7,5.37,-0.667
"Avila, Pedro",658648,2023,220,136,0.23,0.237,-0.007,0.337,0.345,-0.008,0.304,0.31,-0.006,3.22,4.04,-0.821
"Vasquez, Andrew",607755,2023,219,146,0.247,0.222,0.025,0.355,0.346,0.009,0.316,0.303,0.013,3.35,3.85,-0.498
"Wilson, Steven",621051,2023,219,132,0.185,0.184,0.001,0.354,0.343,0.011,0.289,0.285,0.004,3.91,3.38,0.526
"Moore, Matt",519043,2023,218,140,0.232,0.214,0.018,0.399,0.37,0.029,0.296,0.282,0.014,2.56,3.3,-0.737
"Cueto, Johnny",456501,2023,218,161,0.256,0.253,0.003,0.543,0.49,0.053,0.362,0.345,0.017,6.02,5.13,0.889
"Vesia, Alex",681911,2023,217,134,0.263,0.231,0.032,0.414,0.391,0.023,0.318,0.296,0.022,4.35,3.66,0.689
"Speier, Gabe",642100,2023,216,138,0.235,0.244,-0.009,0.375,0.392,-0.017,0.278,0.29,-0.012,3.79,3.5,0.287
"Bernardino, Brennan",657514,2023,216,134,0.25,0.243,0.007,0.375,0.377,-0.002,0.313,0.311,0.002,3.2,4.07,-0.873
"Rogers, Taylor",573124,2023,216,124,0.211,0.211,0,0.357,0.358,-0.001,0.292,0.294,-0.002,3.83,3.61,0.222
"Gonzales, Marco",594835,2023,215,163,0.282,0.287,-0.005,0.431,0.444,-0.013,0.334,0.349,-0.015,5.22,5.27,-0.05
"Mayza, Tim",641835,2023,215,147,0.251,0.252,-0.001,0.342,0.355,-0.013,0.279,0.285,-0.006,1.52,3.38,-1.861
"Sborz, Josh",622250,2023,215,130,0.219,0.216,0.003,0.383,0.366,0.017,0.291,0.284,0.007,5.5,3.35,2.153
"Stanek, Ryne",592773,2023,213,140,0.221,0.222,-0.001,0.389,0.403,-0.014,0.3,0.31,-0.01,4.09,4.04,0.046
"Murphy, Chris",669684,2023,212,145,0.263,0.235,0.028,0.416,0.362,0.054,0.321,0.295,0.026,4.91,3.63,1.279
"Middleton, Keynan",641871,2023,212,124,0.214,0.215,-0.001,0.364,0.364,0,0.296,0.298,-0.002,3.38,3.71,-0.335
"Lauer, Eric",641778,2023,211,144,0.292,0.307,-0.015,0.616,0.569,0.047,0.411,0.405,0.006,6.56,7.54,-0.983
"Keller, Brad",641745,2023,211,132,0.259,0.233,0.026,0.364,0.382,-0.018,0.364,0.361,0.003,4.57,5.7,-1.134
"Muñoz, Andrés",662253,2023,211,117,0.217,0.205,0.012,0.304,0.287,0.017,0.279,0.268,0.011,2.94,2.97,-0.031
"Coulombe, Danny",543056,2023,210,138,0.231,0.22,0.011,0.323,0.347,-0.024,0.269,0.273,-0.004,2.81,3.09,-0.285
"Hoffman, Jeff",656546,2023,208,118,0.158,0.188,-0.03,0.257,0.274,-0.017,0.226,0.247,-0.021,2.41,2.52,-0.112
"Alexander, Scott",518397,2023,208,165,0.282,0.267,0.015,0.369,0.374,-0.005,0.299,0.294,0.005,4.66,3.61,1.045
"Machado, Andrés",600921,2023,207,150,0.282,0.287,-0.005,0.521,0.513,0.008,0.356,0.356,0,5.22,5.52,-0.3
"Saucedo, Tayler",642048,2023,207,135,0.234,0.246,-0.012,0.309,0.337,-0.028,0.298,0.313,-0.015,3.59,4.13,-0.543
"Ruiz, José",614179,2023,207,141,0.292,0.268,0.024,0.522,0.458,0.064,0.385,0.354,0.031,5.89,5.44,0.447
"Armstrong, Shawn",542888,2023,207,138,0.188,0.207,-0.019,0.272,0.306,-0.034,0.233,0.253,-0.02,1.39,2.65,-1.265
"Almonte, Yency",622075,2023,207,131,0.239,0.248,-0.009,0.372,0.377,-0.005,0.314,0.32,-0.006,5.06,4.33,0.733
"Cosgrove, Tom",676680,2023,205,137,0.173,0.186,-0.013,0.246,0.269,-0.023,0.238,0.254,-0.016,1.75,2.67,-0.917
"Marinaccio, Ron",676760,2023,205,114,0.208,0.203,0.005,0.357,0.367,-0.01,0.315,0.321,-0.006,3.99,4.36,-0.367
"May, Trevor",543507,2023,205,133,0.208,0.244,-0.036,0.327,0.385,-0.058,0.29,0.328,-0.038,3.28,4.58,-1.301
"Schreiber, John",670167,2023,204,122,0.237,0.224,0.013,0.399,0.367,0.032,0.324,0.313,0.011,3.86,4.13,-0.273
"Ureña, José",570632,2023,203,151,0.284,0.268,0.016,0.597,0.5,0.097,0.398,0.363,0.035,6.45,5.77,0.678
